answer,summary
네 십 년 후에 이 회사에서 저를 계속 써주고 계신다면 저는 계속 다니고 있을 것 같고요. 아무래도 저는 그때쯤 되면은 몸에 근육이 굉장히 많이 있을 것 같습니다. 제가 틈틈이 시간 날 때마다 홈트레이닝을 하거든요. 눈에는 바로 보여지지 않아도 그래도 이것들이 쌓이면서 몸에 라인이 잡히고 내가 더 건강해진다는 느낌이 들어서 아무래도 저는 계속해서 운동을 하고 있을 것 같거든요. 그래서 조금 더 건강하고 근육이 많은 제가 되어 있을 것 같고 그리고 현재 다닌 회사에서는 어느 정도의 위치 위치 안정된 위치에 있지 않을까 라는 생각이 듭니다. 그리고 그 위치에 되면 제 밑으로 들어 오는 다른 분들을 위해서 많은 이야기들도 해주고 그리고 너무 나 때에 만의 이야기 하지 않는 소위 꼰대 같지 않는 그런 상사로 남아서 있을 것 같다는 생각이 듭니다.,저는 계속 다니고 있을 것 같습니다. 틈틈이 홈트레이닝을 하는데 몸에 근육이 쌓이면서 더 건강해진다는 느낌이 들어서 계속 운동을 하고 있습니다. 그 위치에 되면 다른 분들을 위해서 많은 이야기들도 해주고 소위 기성세대 같지 않는 상사로 남게 될 것 같다는 생각이 듭니다.
저는 협업을 할 때 사교성이 굉장히 좋은 편 중에 한 명입니다. 저는 업무를 하는 데 있어서 같이 동료와 융화되는 그런 능력들을 가장 중요하게 생각을 하는데요. 그 이유는 저희가 근무를 할 때 혼자 하는 업무들이 아니고 대부분의 업무들이 다른 동료 혹은 선배들과 함께하는 근무이기 때문에 때로는 우리가 갈등이 있을 수도 있지만 그러한 갈등들을 잘 해결하는 능력들이 어 우리가 업무를 하는 데 있어서 굉장히 중요하다 라고 생각합니다. 저 같은 경우에는 사교성을 키우기 위해서 조금 처음에는 어색하더라도 먼저 사근사근하게 다른 동료들에게 말을 거는 편입니다. 그 이유는 제가 말을 걸면 사소한 것이라도 서로 정보 교환을 하게 되고 그 정보 교환 속에서 우리가 어떤 사람이라는 걸 서로 알게 되고 그리 그리고 나아가서 아이스 브레이킹 할 수 있는 그런 어 시간들을 가질 수 있기 때문에 저는 조직 융화를 위해서 먼저 동료나 혹은 선배들에게 좀 자세하게 말을 걸면서 친해지려고 노력하는 편입니다.,"협업 시 사교성이 굉장히 좋은 편인데, 업무를 할 때 같이 동료와 융화되는 능력을 중요하게 생각하기 때문입니다. 갈등이 있을 수 있지만 갈등들을 잘 해결하는 능력이 중요합니다. 저 같은 경우에는 사교성을 키우기 위해서 먼저 다른 동료들에게 말을 걸면서 친해지려고 노력하는 편입니다."
제가 대학을 다닐 때 어떤 마케팅 회사에서 인터을 한 경험이 있는데요. 그 인턴 경험을 하면서 여러 가지 실무들을 익힐 수도 있었지만 저는 컴퓨터 활용 쪽을 공부하기로 마음먹었습니다. 그 이유는 제가 현업에서 근무를 하다 보니까 엑셀 프로그램을 정말 많이 활용한다 라는 생각을 했습니다. 그래서 기존에는 컴퓨터 활용이라는 자격증을 꼭 왜 해야 하는지 그 부분에 대해서 중요도를 깨닫지 못했었는데요. 실제로 인턴을 하다 보니까 현업에서는 이러한 자격증이 있으면 너무 잘 활용할 수 있겠다. 어 꼭 일일이 수기로 붙여 놓는 데이터가 있더라도 내가 쿼리나 혹은 음 피봇 테이블들을 활용할 수 있는 엑셀 기능을 잘 활용하면 업무에 도움이 되겠다 라는 생각이 들어서 그때 당시에 인턴을 했던 경험을 바탕으로 컴퓨터 학원에 등록을 하고 또 나아가서 컴퓨터 활용 이급 자격증을 땄구요. 지금은 더 추가로 공부를 해고 해보고자 싶어서 일 등급을 딸려고 지금 현재 공부 중에 있습니다.,엑셀 프로그램을 정말 많이 활용한다는 생각을 하면서 컴퓨터 활용 쪽을 공부하기로 마음먹었습니다. 학원에 등록을 하고 또 나아가서 컴퓨터 활용 이급 자격증을 땄습니다. 지금은 더 추가로 공부를 해고 해보고자 해서 일 등급을 따려고 현재 공부 중에 있습니다.
제가 일을 하면서 가장 어려울 것으로 지금 현재 예상되는 부분은 다른 음 동료들과 빠르게 친해질 수 있을까에 대한 부분입니다. 사실 제가 어 다른 어 졸업 이후에 다른 일들을 여러 가지 했었는데요. 그 과정에 있어서 지금 직무와는 연관된 부분이 아니기 때문에 신입으로 지원을 하게 되었습니다. 그래서 물론 저보다 나이가 많으신 분들도 있을 수도 있고 혹은 적으신 분들도 있을 수도 있지만 어 신입의 입장으로서 저보다 분명히 업무 내용에 대해서 많이 알고 있을 선배들이 있기 때문에 그런 선배들을 항상 존중하는 자세 그리고 항상 낮은 자세로 배우려는 자 마음가짐을 가지고 제가 잘 모르는 부분이 있다면 많이 물어보고 혹에 제가 도움 드릴 수 있는 부분이 있다 라면 정말 성심성의껏 도움을 드리는 자세로 다른 동료들과 함께 융합하고 또 다른 부서와 함께 협업하는 자세로 근무하는 근무를 진행하고 싶습니다.,다른 음 동료들과 빠르게 친해질 수 있을까에 대한 부분이 업무와 연관되어 신입으로 지원하게 되었습니다. 신입의 입장으로서 업무 내용에 대해서 많이 알고 있을 선배들이 있기 때문에 선배들을 존중하는 자세 그리고 항상 낮은 자세로 배우려는 마음가짐으로 다른 동료들과 함께 협업하는 자세로 근무하는 근무를 진행하고 싶습니다.
회사에 들어와서 제가 꼭 만나 뵙고 싶은 선배는 저에게 잔소리를 많이 해줄 수 있는 선배입니다. 그 이유는 저는 잔소리도 후배에 대한 관심에서 주는 그런 큰 관심과 그리고 시간을 투자하는 부분이라고 생각을 합니다. 만약 후배에게 전혀 관심이 없다 라면은 자기 업무를 나눠주거나 혹은 옆에 앉혀서 가르칠 그럴 의지도 없을 것이라고 생각합니다. 그렇지만 만약에 정말 후배를 아끼는 마음이 있다라면 그 후배가 지금 어떤 업무들을 하고 있는지 잘 살펴보고 만약에 자기가 도움 줄 수 있는 부분이 있다 라면은 여러 가지 도움 주기 위해서 아마 그 과정에서 잔소리들을 굉장히 많이 하실 수도 있는데요. 저는 그렇게 잔소리를 하는 과정이 자기 후배에 대한 굉장히 큰 관심이라고 생각하기 때문에 저는 저를 많이 지켜봐 줄 수 있고 그리고 저에 대해서 많은 피드백과 가끔 기분이 나쁠 수도 있지만 어 냉철한 비판 있는 그런 의견들을 제시해 줄 수 있는 선배를 선호합니다.,"저는 잔소리를 하는 과정이 자기 후배에 대한 큰 관심이라고 생각하기 때문에 많이 지켜봐 줄 수 있고, 저에 대해서 많은 피드백과 기분 나쁠 수도 있지만 어 냉철한 비판 있는 의견들을 제시해 줄 수 있는 선배를 선호합니다."
네 제가 현재 지원한 곳에 의 본사 말고도 여러 가지 다양한 계열사가 있다는 것에 대해서는 잘 알고 있습니다. 그렇지만 제가 지주사인 본사에 지원을 하게 된 이유는 지주사만이 가지고 있는 음 여러 가지 경험과 노하우에 대해서 배우고자 하는 의지가 있기 때문입니다. 저 같은 경우에는 신입이기 때문에 아직 여러 가지 실무 경험은 없지만 다양한 분야에서 한 어 굉장히 밑바닥부터 배우고자 하는 의지가 강합니다. 그래서 지금 지주사의 경우에는 여러 가지 계열사가 진행하고 있는 프로젝트에 대해서도 음 현황 파악을 잘 할 수가 있고 또 나아가서 그룹 전체에 공감이 되는 그런 미션이라든지 혹은 방향성에 대해서 제시를 하는 곳이기 때문에 제가 신입으로서 배울 수 있는 그런 업무들이 훨씬 더 많다 라고 생각이 되었습니다. 그래서 저는 여러 가지 분야에 대해서 배워볼 수 있는 기회야말로 저에게 가장 큰 어 보상이라고 생각하기 때문에 지원하게 되었습니다.,저는 신입이기 때문에 아직 여러 가지 실무 경험은 없지만 여러 가지 계열사가 진행하고 있는 프로젝트에 대해서도 음 현황 파악을 잘 할 수가 있고 또 그룹 전체에 공감이 되는 미션다든지 혹은 방향성에 대해서 제시를 하는 곳이기 때문에 여러 가지 분야에 대해서 배워볼 수 있는 기회이야말로 가장 큰 보상이라고 생각하기 때문에 지원하게 되었습니다.
입사 후에 쉬운 일 그리고 어려운 일이 분명히 닥칠 텐데요. 저는 그렇게 여러 가지 일들이 쏟아질 때 우선순위를 분배할 수 있는 능력이 업무 능력 중에 정말 중요하다 라고 생각합니다. 그 이유는 우리가 업무들이 쏟아지게 되면 여러 가지 역할들을 음 동시 다발적으로 시행해야 될 수가 있는데요. 그럴 때 지금 당장 처리해야 될 긴급한 일 혹은 장기적으로 아직 시간을 좀 두고 처리해야 될 아직 덜 중요한 일들이 있을 수 있기 때문에 이런 여러 가지 업무들이 닥칠 때 우선순위를 분류를 해서 진행을 할 수 있는 부분이 어 한정된 시와 시간을 가장 잘 활용할 수 있는 부분이라고 생각합니다. 그렇기 때문에 저는 처음에 신입으로 들어가게 된다면 지금 현재 흘러가는 일의 방향성이 어떻게 흘러가는지 먼저 전체적인 방향을 파악해 본 이후에 제 업무들을 하나하나 시행해 보도록 하겠습니다. 그리고 그 내용들은 스케줄표로 정리를 하면은 놓치는 부분이 하나도 없을 것이라고 생각하고 있습니다.,"업무가 쏟아질 때 우선순위를 분배하는 능력이 업무 능력 중 가장 중요하다고 생각합니다. 지금 당장 처리해야 될 긴급한 일, 아직 시간을 좀 두고 처리해야 될 덜 중요한 일들이 있을 수 있기 때문에 우선순위를 분류를 해서 진행을 할 수 있는 부분이 한정된 시간을 가장 잘 활용할 수 있는 부분이라고 생각합니다."
제가 해보았던 다양한 커뮤니케이션 중에서는 제가 경험해보지 않 않은 그런 어플이나 경험 내용을 바탕으로 고객을 설득하는 게 가장 힘들었었습니다. 제가 대학 시절에 아르바이트를 한 적이 있었는데요. 당시에 어느 날 장애인분이 오셔서 장애인용 어플이 이용이 안 된다 여기 백화점에서는 이 어플을 사용하려면 어떻게 해야 되는지를 한번 질문을 해 주셨습니다. 그렇지만 저는 처음에 장애인 전용 어플이 우리 백화점에 있었는지조차를 몰랐기 때문에 너무 당황했었습니다. 그렇지만 저는 먼저 고객님께 저 역시도 어 어떻게 활용하는지는 모르겠지만 제가 한번 업 어 인터넷에 검색해 본 뒤에 응대를 해 드리겠다 잠시만 기다려 달라 라고 말씀을 드렸고 실제로 구글과 네이버에서 어떻게 하면 이 장애인용 어플 음성 지원 어플을 사용할 수 있는지를 한번 검색해 보았고 이를 토대로 고객님의 핸드폰이 안드로디 안드로이드 폰이셔서 권한 설정을 한번 허용해 본 뒤에 그 어플을 활용하실 수 있도록 직접 도움을 드렸던 경험이 가장 기억에 남습니다.,저는 경험해보지 않은 경험을 바탕으로 고객을 설득하는 것이 가장 힘들었습니다. 대학 시절에 장애인 전용 어플이 백화점에 있었는지는 몰랐기 때문에 먼저 고객님께 구글과 네이버에서 어떻게 하면 장애인용 어플 음성 지원 어플을 사용할 수 있는지를 검색해 보았고 직접 도움을 드리신 경험이 가장 기억에 남습니다.
제가 생각하는 좋은 회사란 동료들끼리 서로 피드백을 주고받는 문화가 강력한 곳이 정말 발전 가능성이 있는 좋은 회사라고 생각을 합니다. 그 이유는 제가 기존에 서비스업에서 어 대학 시절에 간략하게 아르바이트를 했었는데요. 동료들끼리 서로 피드백을 해 줄 때마다 더 좋은 성과 그리고 고객들을 더 잘 대할 수 있는 그런 응대 아이디어가 나온다 라고 생각했습니다. 저는 경영 지원 업무 역시도 마찬가지라고 생각합니다. 저희가 함께 근무하는 동료들끼리 서로 치열하게 피드백을 주고받을 수 있는 조직 문화가 형성이 된다 라면 저희는 그 안에서 스스로 한계를 이겨내고 어 새롭게 고객들을 잘 응대할 수 있고 혹은 동료들과 더 좋은 아이디어를 주고받을 수 있는 상황들이 많이 나올 것이라고 생각합니다. 그래서 편하게 피드백을 주고받을 수 있고 혹은 불편함을 감수하더라도 동료들에게 피드백을 하는 문화가 우리를 발전시킬 수 있다 라고 생각합니다.,동료들끼리 서로 피드백을 주고받는 문화가 강한 곳이 발전 가능성이 있는 좋은 회사라고 생각합니다. 그래야 스스로 한계를 이겨내고 새롭게 고객들을 잘 응대할 수 있고 더 좋은 아이디어를 주고받을 수 있는 상황이 많이 나올 것입니다.
태어나서 지금까지 한 일 가운데 제가 가장 후회하는 일은 대학 졸업 후에 어 조그마한 곳에서 빨리 인턴을 했어야 했는데 그러지 못하고 계속 어 공무원 시험을 준비했던 경험입니다. 물론 공무원 시험을 준비했던 경험을 통해서 저는 여러 가지 공부들을 많이 해 보았고 음 실제로도 업무를 하는 데 있어서 도움이 되는 부분이 있을 수 있습니다. 그렇지만 조금 더 빠르게 실무를 경험할 수 있는 경험들을 내가 시도해 보았다면은 음 지금 더 커리어도 발전할 수 있었지 않았을까 하는 후회들을 하고 있습니다. 왜냐하면 저는 당시에 공무원 시험을 치러서 공무원이 되는 게 제 장래에 굉장히 도움이 될 거라고 생각을 했었는데요. 실제로는 제가 조그만한 곳에서라도 인턴을 해보고 또 고객들을 직접 만나보고 동료들과 함께 협업을 해 보았던 그런 경험들이 음 제가 어 지금 현재 직무를 지원하는 데 있어서도 훨씬 더 도움이 된다 라고 생각했기 때문입니다.,"저는 공무원 시험을 준비했던 경험이 가장 후회되는 부분입니다. 하지만 더 빠르게 실무를 경험할 수 있었다면 지금 더 커리어도 발전할 수 있었을 것이라고 생각합니다. 실제로 인턴을 해보고, 고객들과 함께 협업을 해 보았던 경험들이 직무를 지원하는 데 도움이 된다고 생각했기 때문입니다."
기차가 운행할 때 산사태로 삼십 분 동안 정차되어 있을 경우에는 제가 관리 책임에 위치에 있다면 우선 가장 중요한 것은 타고 있는 탑승객에게 상황을 설명하고 사과의 말씀을 전하는 것을 최우선으로 하겠습니다. 어 어 그 기차를 타고 있는 탑승자라면 이 기차가 어떻게 음 이런 이렇게 이런 상황이 되었는지 그리고 자신의 안전은 보장이 되는 것인지 가장 불안하고 걱정이 될 것이고 그렇기 때문에 가장 우선적으로 해결해야 될 문제는 이 기차가 어 정차되어 있지만 안전하다는 것 그리고 언제 다시 운행을 재개할 수 있다는 것을 미리 알려서 어 승객께서 다음 대안을 스스로 찾거나 아니면 편안한 마음으로 기다릴 수 있도록 돕는 것이 중요하다고 생각합니다.,기차가 산사태로 정차되어 있을 때 탑승객에게 상황을 설명하고 사과의 말씀을 전해야 합니다. 기차가 정차되어 있지만 안전하다는 것과 언제 다시 운행을 재개할 수 있다는 것을 미리 알려 다음 대안을 찾을 수 있도록 도와야 합니다.
과거에 대학 시절 프로젝트를 수행했던 경험이 생각나는데요. 저는 대학 시절에 프로젝트를 수행할 때 항상 리더의 역할을 해 왔습니다. 음 팀원들과 함께 의견을 나누고 의견을 조율하고 그리고 프로젝트가 나아가야 할 방향을 정하는 역할을 했고요. 그 방향에 맞게 어 팀원들에게 역할을 부여하고 그리고 그 부여한 역할이 잘 수행되고 있는지에 대해서 체크하는 역할까지 수행을 했었고 모든 자료를 자료가 수집이 되면 그것을 취합해서 결과물을 만드는 그런 역할 또한 제가 맡아서 진행을 했습니다. 이 과정에서 리더십이 음 발현이 될 기회가 많았고 이러한 경험은 이 회사에서 근무를 할 때에도 좋은 긍정적인 모습으로 나타날 것으로 생각이 되겠습니 됩니다.,저는 대학 시절에 팀원들과 의견을 나누고 조율하고 프로젝트가 나아가야 할 방향을 정하는 리더의 역할을 했습니다. 이 과정에서 리더십이 발현될 기회가 많았고 이러한 경험은 이 회사에서 근무를 할 때에도 좋은 모습으로 나타날 것으로 생각합니다.
